OBJECTID,LABEL,ACRES,GlobalID,SHAPESTArea,SHAPESTLength
17112,N-3-1,9.11974626,{E3EE6A28-6C36-48B3-876A-E42AD43B7410},397254.557983398,3095.85946399691
17113,N-3-1,8.12185791,{559FB82C-23FB-4353-B8DB-87CB7AA5C197},353786.715332031,3157.7131618503
17114,N-3-1,7.68425352,{8172198C-44A3-4671-8290-FBF8201B22CC},334724.74432373,3260.78768503537
17115,N-3-1,0.75794007,{38CAD916-AE4A-4B18-88E5-4EC6A5D799DF},33015.7373657227,794.288899043288
17116,N-3-1,2.9593989,{3194A4FC-B023-4D51-8E5D-2FC0E21948F5},128910.900512695,2021.78429831719
17117,N-3-1,5.34866173,{F9CC7441-B74F-4C44-9658-E0E267BD686A},232986.772705078,3820.19477756013
17118,N-3-1,3.61031302,{FBFF925F-1A6D-4F1F-B275-7FE7B7A2141F},157264.605957031,1863.62843889218
17119,N-3-1,4.02449417,{55EE8F8A-0306-41A0-A131-698E4445A447},175306.265075684,1883.42774649108
17120,N-3-1,5.25310706,{41F3D69F-AB77-4C06-B2D8-16E6B96948F8},228824.428100586,2522.68273855042
17121,N-3-1,3.62417357,{214FB4DF-223D-4C73-AEF5-3211BF7F9059},157868.369262695,1876.88403367788
17122,N-3-1,4.62822573,{4B86AD71-3A85-4038-903D-5FD123173A37},201604.706054688,2247.29277894376
17123,N-3-1,4.59682475,{E4E8075B-66F1-491F-8597-5C1CADE47D6E},200236.885192871,2233.13158649556
17124,N-3-1,4.70402457,{B58348AA-504D-480F-9C92-B91F5589349F},204906.490478516,2227.34527272086
17125,N-3-1,4.58025006,{3E27A2C0-A53C-42E1-9EC8-4D2B5350DFAE},199514.894165039,2066.66612387728
17126,N-3-1,4.54949948,{1DAA1199-2B91-4D87-BB74-9F59D4A662CD},198175.404907227,2043.66833090694
17127,N-3-1,5.25415109,{5CA0204C-2923-43FA-BE26-13CAAA84B59E},228869.906066895,2522.66532093527
17128,N-3-1,3.59592104,{3BB86903-7A94-4230-8D64-D5201B494DE4},156637.694152832,1870.63481182219
17129,N-3-1,5.23490179,{0D3690F7-5FC2-4992-9D5D-4BE990D2D8D5},228031.410095215,2521.55154107115
17130,N-3-1,4.23906275,{EABCF9E2-2816-4CF2-9142-15F8FB0E8D48},184652.834594727,1949.2997462306
17131,N-3-1,1.96537401,{7D392DFA-3C33-42B3-84C8-029F8868B789},85611.3491821289,1172.01746387021
17132,N-3-1,3.70098435,{3C346533-1CAD-4AE2-9E1B-F577C68B687F},161214.233581543,1720.72684442091
17133,N-3-1,3.70673337,{AF004471-C512-4C79-959E-4EE1CFFC870B},161464.659729004,1727.69145725448
17134,N-3-1,3.824058,{A59F6CA9-3E4D-49A1-8C67-0F67402FDCEE},166575.300231934,1840.35886831761
17135,N-3-1,3.6109444,{0B18802F-085F-4556-B148-756593B1D411},157292.109008789,1849.05674703899
17136,N-3-1,4.00873595,{6472778E-BAE9-4D8C-80FE-26BB8B8D38AB},174619.839294434,1923.88964678979
17137,N-3-1,4.08864173,{0886A738-4C84-4816-BBCE-32E26A788724},178100.520812988,2156.08643921147
17138,N-3-1,3.2417046,{741C9347-B2F8-43C4-9CE1-F3CC5DEA88E3},141208.087219238,2224.31245454513
17139,N-3-1,4.8705896,{536AC1A9-28D9-46B2-B8AD-F152B37E0F85},212162.034545898,2155.63960400608
17140,N-3-1,4.5877224,{B8C4508F-D3C9-4EA7-9093-CB056F3C3D11},199840.388549805,2256.07461660522
17141,N-3-1,1.06277009,{C79B40FF-FB0F-45E3-BC80-3D942DF17BAA},46294.0798339844,918.47521465163
17142,N-3-1,3.58848402,{C00F051B-141C-419A-BF70-9DF53D9F5652},156313.738769531,1867.9263912568
17143,N-3-1,1.95042183,{05119201-36FB-4155-9BBC-F23CFD7E795C},84960.0355834961,1901.47584298406
17144,N-3-1,2.80592917,{6DD9F108-D613-404B-A102-5A3659F8A773},122225.785949707,2136.80430598686
17145,N-3-1,2.32218032,{4D9B003B-8913-4987-84E8-1D74F485E3D2},101153.770080566,1784.18393668111
17146,N-3-1,3.8258824,{0503BD58-7F74-4083-BDA6-7C8D043B35C1},166654.770690918,2105.3420433577
17147,N-3-1,1.16880495,{666DBA66-AE65-47D0-BAD8-E1733E55D5BB},50912.9401245117,1041.4277069369
17148,N-3-1,1.74107099,{7B4FE2CB-8ECF-422A-B164-2A058998FDDD},75840.7489013672,1303.14037609273
17149,N-3-1,1.29508027,{86FCCA85-395E-437C-8FF1-C6E724C24333},56413.4708862305,1037.96338607736
17150,N-3-1,1.76003267,{1B3A40A2-0123-4C09-A973-46403DFDCAA4},76666.7163085938,1798.94102776388
17151,N-3-1,0.68877457,{0D8623E3-7792-4918-A493-F015D67D3E59},30002.9002075195,700.080741290121
17152,N-3-1,2.87513602,{BB954E28-2842-4CD8-B933-94BD95B67009},125240.424499512,1503.92294436477
17153,N-3-1,0.96095984,{FBB5ECE7-FA40-4151-97E6-0A9367691C9F},41859.2434082031,858.148005814109
17154,N-3-1,1.67742574,{78207885-1BF0-403B-B726-DFF08D057C70},73068.3731689453,1305.75179381455
17155,N-3-1,0.88690466,{D0818B77-C6CD-47E2-913D-BDFE134A93EE},38633.4125366211,923.810760265482
17156,N-3-1,1.21407694,{42ADDCF8-804E-4820-83B6-64C11D399E04},52884.9801635742,1830.13841706898
17157,N-3-1,1.92523789,{4CE9665E-93F2-4F7F-96B1-77676C57263F},83863.0268554688,1249.39701071367
17158,N-3-1,0.95075868,{362C7594-0126-4B39-BDB7-51557BF278D3},41414.8823852539,938.622808276886
17159,N-3-1,4.92255692,{034E6DC9-4BA5-4D5F-BEEB-504EE7F7496B},214425.721496582,2186.59846478189
17160,N-3-1,0.96045674,{4DE990C7-A683-4225-B103-8465EAA813D8},41837.328125,834.616154327974
17161,N-3-1,1.20364811,{25DDDA57-4E89-4B15-A420-413667DD73D0},52430.7024536133,998.859635704057
17162,N-3-1,1.20516099,{61D91512-6E11-4BE2-A409-8F28311223CD},52496.6026000977,999.996199317293
17163,N-3-1,3.46624765,{E7EF2FC6-8E09-4C9B-AFF3-5D03E780BD0E},150989.143615723,3058.79024058745
17164,N-3-1,2.09810518,{0819CDB5-B458-4920-8A58-8F69E0FC4EB7},91393.0964355469,1234.95996142858
17165,N-3-1,1.36983458,{CAF3DCF9-DEE7-40DE-BD81-0AFF580CC5FF},59669.7555541992,1146.21274341729
17166,N-3-1,3.76389703,{78893B0E-1CAE-41CC-9408-A3D4560C053E},163954.698791504,2495.73168034187
17167,N-3-1,2.21648571,{0B505752-C59E-4768-A3C1-7B10E7473F93},96549.731262207,1243.75832874331
17168,N-3-1,1.85069328,{1354B0C3-765A-432B-B49B-59CF4BC1BF73},80615.8767089844,1149.12333386323
17169,N-3-1,1.6523272,{4A24304E-041C-4FA9-A8D7-8016E3E68237},71975.0848388672,1169.44340978932
17170,N-3-1,0.93463607,{7D566B47-5237-4185-833D-33F745F2F42E},40712.5842285156,922.716973677633
17171,N-3-1,0.89316266,{E5A7B31A-D766-49B7-B688-9744F216BB4B},38906.0098876953,858.589863086256
17172,N-3-1,5.63037406,{82B84F1B-8B22-47F3-8FFC-9F9D9C84B50E},245258.112854004,2903.41563024983
17173,N-3-1,3.96270043,{8ECB2435-1777-4DA1-AECD-EE2B1A4A9284},172614.540039062,2103.01472965049
17174,N-3-1,2.9975088,{65073DBE-B08F-4857-9ECF-8421F3FB499D},130570.96081543,1959.45609739573
17175,N-3-1,4.46502083,{86864F80-315F-40B6-9ED7-69AE75086DE2},194495.529174805,2397.18464209297
17176,N-3-1,2.3682705,{9476F35A-564D-408E-8050-95CBA0EE08F4},103161.450073242,1789.76165410847
17177,N-3-1,3.52966291,{1659176F-F70C-40C3-9969-59AFA3468B66},153751.501220703,2399.00311466746
17178,N-3-1,0.65485541,{DD90866C-8EF0-4ED0-A247-5A57C83183B3},28525.3873901367,729.637721273359
17179,N-3-1,2.14253162,{B61E6CAD-078D-4498-B272-531166A26918},93328.3040771484,1728.18249879483
17180,N-3-1,4.65463089,{8C257BCC-97DD-43CA-A11A-6CB81A4CB398},202754.910949707,1990.29517597535
17181,N-3-1,1.09665929,{8CB1B6FF-2469-41D4-9354-B561853D2DBA},47770.2875976562,1173.77146258254
17182,N-3-1,1.11929956,{73AA069F-339D-4FAF-BEF4-E3311F544CDC},48756.4939575195,1068.68602861491
17183,N-3-1,1.00453761,{62B59221-7D7D-40C6-A72A-CC2AD6A971FE},43757.4830322266,915.857293007561
17184,N-3-1,5.60364387,{1D39B567-DF81-4A23-AFAE-76D9F7585301},244093.750671387,2340.59163858341
17185,N-3-1,1.67888619,{1CABF738-D464-4596-8F6E-8A5307C137A1},73131.9898071289,2410.74434340826
17186,N-3-1,6.34763597,{D983E4EF-21BA-441A-ACF5-D2D56F0C13AF},276501.916809082,2535.60627531189
17187,N-3-1,1.8050043,{A85BCBEF-DDA0-4EA9-9765-15E9BD9353C9},78625.673034668,1379.81425911342
17188,N-3-1,1.74717218,{A1B3A1C0-A9B5-439B-8B8D-2262C05060C4},76106.5151367188,2401.14694896111
17189,N-3-1,6.21691892,{1591E635-69F4-4F13-9533-49F0C3146941},270807.905212402,2491.67457730503
17190,N-3-1,0.85751225,{0C6475DE-0A1D-4CC4-A011-863F741A6EF2},37353.0844116211,835.599605985949
17191,N-3-1,2.58178168,{6A58FDE7-CB21-4A24-8AE4-3840B05A6B7B},112461.960205078,2479.13917928927
17192,N-3-1,2.73387507,{FFA38E99-BC35-4B07-80FE-81B777881137},119087.121948242,2581.69330757168
17193,N-3-1,1.29355828,{2C182376-6C1B-44C6-B9CB-B19BEBE57808},56347.1734008789,1046.37397862338
17194,N-3-1,2.44778555,{48A7F6C0-9C0F-4807-9FE5-66B3E30FFDD3},106625.11114502,1305.18667774385
17195,N-3-1,5.55108883,{E1964BEA-AFFF-40CC-AA82-8CE29133ABA9},241804.462280273,2379.8520700907
17196,N-3-1,3.04285021,{8A3A0593-078B-4F8D-94D2-35B55CFBB00D},132546.024963379,2090.47188480093
17197,N-3-1,4.66556564,{A2D5C297-1D4E-4EAD-824A-CE8DAE27040E},203231.226379395,2929.32735416987
17198,N-3-1,12.60551282,{94DCBBC2-FD93-4CA5-9265-F25B6B946D2D},549093.942260742,4198.94981981812
17199,N-3-1,0.55606926,{3C326117-CA5D-4F03-B807-B5DCB1E6EA99},24222.2797241211,624.219618597702
17200,N-3-1,2.28014199,{AEE49D47-3AD0-4E0D-AD3F-BF796B0BFDA3},99322.5877075195,1675.83744914575
17201,N-3-1,2.70551147,{07F3DE6A-5CDA-4D24-BF0A-6290D785839E},117851.608276367,1779.61099932469
17202,N-3-1,4.87397461,{FB86E678-85F7-4923-885E-124623A59A4F},212309.485046387,2002.78583790242
17203,N-3-1,4.73962739,{7455DE6F-FB0B-478F-B4A9-F1EEE27F31C2},206457.343261719,1868.65280181386
17204,N-3-1,1.58267672,{C6BAAC22-6041-4263-94BB-5D1675D3B661},68941.1221313477,1490.40923454946
17205,N-3-1,4.63771152,{8A5ADBB0-FE6D-476C-99A8-78185F3FB7F0},202017.905700684,2046.65300239738
17206,N-3-1,4.07473839,{25E483E1-B249-4D5E-836B-4D24F4E5BC12},177494.894348145,1760.8859302871
17207,N-3-1,0.87402015,{E2F912DC-33AD-48EC-AA3A-020975392546},38072.1654663086,884.608443509165
17208,N-3-1,0.8669736,{1D1B4B6E-D256-487C-84D6-87C9FD9CC862},37765.2188720703,899.105534787705
